一	1
𨗴	罒 亻 隹字边 辶
𨗵	气 土 丷 1 举字底 辶
𨗶	1 举字底 丆 目 八 辶
𨗷	木 冎 口 辶
𨗸	艹 艹 1 6 木 辶
𨗹	竹头 1 豕省 辶
𨗺	雨头 亽 5 4 辶
𨗻	罒 非 辶
𨗼	卧人 左字框 临字旁 1 6 冖 巾 辶
𨗽	爫 干 凵 月 辶
𨗾	八 乂 土 丷 1 举字底 辶
𨗿	埓上角 豸字底 艮 辶
𨘀	王 丆 目 八 辶
𨘁	幺 方 幺 小 辶
𨘂	聿三 3 口 久二 4 久二 4 辶
𨘃	疒 宀 㠯 辶
𨘄	宀 艹 彐 火 辶
𨘅	埓上角 豸字底 彐 2 二 辶
𨘆	亠 3 6 水字边 冂 八 口 辶
𨘇	5 1 2 巛 冖 厶 3 举字底 辶
𨘈	虍 土 丷 干 辶
𨘉	竹头 1 聿三 龰 辶
𨘊	目 目 开 辶
𨘋	3 日 方 卧人 5 子字底 辶
𨘌	礻三 4 冎 口 辶
𨘍	雨头 艮 辶
𨘎	艹 大 日 小 辶
𨘏	艹 土 口 3 6 水字边 辶
𨘐	亻 3 日 亻 3 日 辶
𨘑	于无横 率字腰 4 1 車无一 辶
𨘒	衰字腰 口 2 木 女 辶
𨘓	爫 丅 1 彐 心 辶
𨘔	言 言 辶
𨘕	盥左角 1 6 2 盥右角 1 八 辶
𨘖	瓜 日 1 勹 横两撇 辶
𨘗	业无横 1 丷 王 寸 辶
𨘘	尸 千二 七 1 口 木无横 辶
𨘙	亠 幺 冖 1 車无一 辶
𨘚	艹 目 冖 寸 辶
𨘛	亠 艹 1 凵 冖 巾 辶
𨘜	1 由 灬 日 辶
𨘝	老 亻 隹字边 辶
𨘞	十 冖 八 罒 干 辶
𨘟	竹头 广 聿三 人 辶
𨘠	衰字腰 口 2 1 八 女 辶
𨘡	夂 田 田 3 十 辶
𨘢	3 目 宀 八 见二 见二 辶
𨘣	罒 土 口 3 6 水字边 辶
𨘤	臼 人 目 八 辶
𨘥	竹头 土 尸 口 辶
𨘦	艹 艹 1 甲 二 辶
𨘧	夫 夫 目 八 辶
𨘨	木 1 曲 日 辶
𨘩	目 小 3 幺 小 辶
𨘪	夫 夫 1 車无一 辶
𨘫	土 土 土 士 口 辶
𨘬	艹 左字框 临字旁 1 6 冖 巾 辶
𨘭	西无一 二 5 二 2 率字腰 辶
𨘮	虍 巾 久二 4 久二 4 辶
𨘯	3 木 全字头 2 率字腰 勹 3 辶
𨘰	亠 亼 口 口 人 人 辶
𨘱	1 口 木无横 爫 聿三 2 辶
𨘲	竹头 宀 1 厶 土 辶
𨘳	彳 山 日 大 5 3 辶
𨘴	3 土 口 非 辶
𨘵	卢字头 回 目 儿 辶
𨘶	1 业无横 1 尸 临字旁 比字旁 匕 辶
𨘷	埓上角 豸字底 丆 目 八 辶
𨘸	厂 3 木 3 木 止 辶
𨘹	1 豕省 月 凵 3 又 辶
𨘺	久二 冬字底 朱三 山 幺 小 辶
𨘻	竹头 土 口 3 6 水字边 辶
𨘼	1 車无一 山 丆 冂 临字旁 辶
𨘽	1 耳无一 爫 朱三 山 辶
𨘾	雨头 亻 隹字边 辶
𨘿	亠 口 口 亻 隹字边 辶
𨙀	土 革 殳 辶
𨙁	彡 龰 埓上角 豸字底 丆 目 八
𨙂	爫 朱三 山 3 幺 小 辶
𨙃	卢字头 见二 叚右角 1 爫 朱三 山 辶
𨙄	亼 口 口 口 冂 艹 辶
𨙅	夂 田 6 5 1 豕省 辶
𨙆	1 豕省 月 1 凵 6 又 辶
𨙇	宀 寒字腰 八 目 八 辶
𨙈	尸 2 率字腰 5 丄 口 牙二 2 辶
𨙉	雨头 叚右角 2 二 叚右角 又 辶
𨙊	艹 虍 1 豕省 辶
𨙋	土 儿 罒 目 八 辶
𨙌	竹头 即字旁 卩 二 儿 辶
𨙍	卧人 大 夭 口 冂 口 辶
𨙎	言 罒 2 率字腰 辶
𨙏	凵 3 凵 2 立无横 1 早 辶
𨙐	即字旁 牙二 儿 艮 辶
𨙑	3 盥左角 盥右角 丄 目 八 辶
𨙒	习 习 田 共 辶
𨙓	1 耳无一 1 耳无一 1 耳无一 辶
𨙔	3 十 龷 1 馬字框 灬 辶
𨙕	艹 口 口 亻 隹字边 辶
𨙖	5 4 冂 举字底 辶 亠 幺 率字腰 十
𨙗	艹 日 禺字底 田 辶
𨙘	日 日 日 大 1 节字底 辶
𨙙	盥左角 盥右角 3 见二 乂 1 大 巳 辶
𨙚	艹 日 禺字底 口 虫无口 辶
𨙛	1 口 木无横 辶 3 皿 亻 人 人
𨙜	土 八 见二 八 见二 1 目 八 辶
𨙝	雨头 田 艮 辶
𨙞	彡 龰 盥左角 盥右角 3 见二 乂 1 大 5 6
𨙟	艹 門字旁 門字边 亻 隹字边 辶
𨙠	1 日 木无横 1 日 木无横 日 辶
𨙡	3 十 龷 凵 鳥省 灬 辶
𨙢	竹头 3 目 冖 八 见二 见二 辶
𨙣	爫 立无横 1 日 3 幺 小 辶
𨙤	雨头 爫 冖 心 夂 辶
𨙥	三 人 日 口 虫无口 口 虫无口 辶
𨙦	3 人 人 人 人 土 馬字框 灬 辶
𨙧	彡 龰 5 4 矛无龴 冂 八 口 鳥省 灬
𨙨	口 1 6 2 5
𨙩	十 阝
𨙪	卬字旁 阝
𨙫	口 阝
𨙬	己 阝
𨙭	土 阝
𨙮	凡 阝
𨙯	寸 阝
𨙰	扌 阝
𨙱	二 6 阝
𨙲	3 1 6 阝
𨙳	又 4 阝
𨙴	才 阝
𨙵	丝左角 3 阝
𨙶	1 巾 阝
𨙷	二 乔字底 阝
𨙸	十 又 阝
𨙹	少三 3 阝
𨙺	5 里无日 阝
𨙻	冂 二 阝
𨙼	3 土 阝
𨙽	亽 5 阝
𨙾	十 又 口 巴三 6
𨙿	左字框 厶 阝
𨚀	丆 2 4 阝
𨚁	牙二 儿 阝
𨚂	八 几 阝
𨚃	亠 亥无亠无人 阝
𨚄	勹 3 1 阝
𨚅	八 乂 阝
𨚆	开 口 巴三 6
𨚇	八 刀 口 巴三 6
𨚈	少三 3 口 巴三 6
𨚉	冂 二 口 巴三 6
𨚊	火 口 巴三 6
𨚋	口 巴三 6 灬
𨚌	歹 阝
𨚍	比字旁 匕 阝
𨚎	1 6 5 1 阝
𨚏	1 幺 阝
𨚐	人 儿 阝
𨚑	5 1 丄 阝
𨚒	少三 3 口 巴三 6
𨚓	弓 乔字底 阝
𨚔	勹 巳 阝
𨚕	厶 廾 阝
𨚖	止 匕 阝
𨚗	冂 里无日 阝
𨚘	未 阝
𨚙	口 1 6 阝
𨚚	丷 夫三 口 巴三 6
𨚛	匕 二 6 阝
𨚜	丷 1 左字框 阝
𨚝	王 4 阝
𨚞	左字框 口 阝
𨚟	夂 冬字底 阝
𨚠	艹 二 口 巴三 6
𨚡	5 2 水字框 口 巴三 6
𨚢	二 乔字底 4 阝
𨚣	1 止 阝
𨚤	七 二 6 阝
𨚥	3 龶 阝
𨚦	凵 夫三 阝
𨚧	5 3 口 阝
𨚨	又 口 阝
𨚩	1 口 2 阝
𨚪	立无横 1 阝
𨚫	土 厶 阝
𨚬	丘 口 巴三 6
𨚭	弓 乔字底 口 巴三 6
𨚮	3 日 阝
𨚯	同 阝
𨚰	早 阝
𨚱	5 2 水字框 1 阝
𨚲	左字框 2 5 子字底 阝
𨚳	亠 6 巛 阝
𨚴	女 口 阝
𨚵	十 1 戈无一 口 巴三 6
𨚶	年 阝
𨚷	久二 4 口 阝
𨚸	1 厶 小 阝
𨚹	西 阝
𨚺	左字框 青字底 口 巴三 6
𨚻	老 口 巴三 6
𨚼	口 巴三 6 左字框 青字底
𨚽	年 口 巴三 6
𨚾	1 6 2 1 6 2 阝
𨚿	冂 举字底 2 阝
𨛀	3 土 厶 阝
𨛁	丷 1 夫三 阝
𨛂	火 又 阝
𨛃	彐 彐 阝
𨛄	叚右角 5 里无日 阝
𨛅	久二 4 久二 4 阝
𨛆	2 二 匕 1 阝
𨛇	肉 阝
𨛈	全 阝
𨛉	负字头 巴三 6 阝
𨛊	犭二 3 大 阝
𨛋	甲 二 阝
𨛌	亠 6 木 阝
𨛍	尚字头 青字底 阝
𨛎	日 干 阝
𨛏	人 人 土 阝
𨛐	厶 八 夂 阝
𨛑	己 心 阝
𨛒	止 2 3 3 阝
𨛓	王 廾 阝
𨛔	丆 2 4 口 阝
𨛕	卢字头 见二 叚右角 1 阝
𨛖	卢字头 冂 艹 阝
𨛗	口 巴三 6 阝
𨛘	3 廾 土 阝
𨛙	3 三 木无横 阝
𨛚	举字底 1 戈无一 口 巴三 6
𨛛	1 豕省 口 巴三 6
𨛜	口 1 6 2 5 口 巴三 6
𨛝	凵 3 三 3 口 巴三 6
𨛞	1 上 荒字底 阝
𨛟	凵 3 三 2 阝
𨛠	又 左字框 口 阝
𨛡	口 青字底 阝
𨛢	木 口 阝
𨛣	亽 5 口 阝
𨛤	1 豕省 阝
𨛥	角 阝
𨛦	聿三 3 口 口 巴三 6
𨛧	亠 厶 小 阝
𨛨	十 左字框 5 子字底 阝
𨛩	1 車无一 阝
𨛪	丘 八 阝
𨛫	3 木 勹 3 口 巴三 6
𨛬	非 口 巴三 6
𨛭	全字头 干 口 阝
𨛮	尸 十 口 阝
𨛯	宀 见二 三 阝
𨛰	爫 聿三 2 阝
𨛱	宀 二 小 阝
𨛲	3 木 3 十 阝
𨛳	龷 日 阝
𨛴	日 1 大 阝
𨛵	虍 几 阝
𨛶	爫 冖 又 阝
𨛷	止 3 6 3 4 口 巴三 6
𨛸	虍 几 口 巴三 6
𨛹	卢字头 见二 1 夂 阝
𨛺	艹 三 八 阝
𨛻	3 木 夫三 阝
𨛼	亠 厶 青字底 阝
𨛽	3 十 2 二 匕 阝
𨛾	5 2 三 水字框 口 巴三 6
𨛿	1 耳无一 又 口 巴三 6
𨜀	大 日 6 口 巴三 6
𨜁	止 人 人 口 巴三 6
𨜂	尚字头 冂 口 口 巴三 6
𨜃	丅 1 5 方 阝
𨜄	雨 阝
𨜅	大 1 口 2 阝
𨜆	大 丷 二 6 阝
𨜇	见二 三 巛 阝
𨜈	5 里无日 5 里无日 阝
𨜉	5 里无日 聿三 3 阝
𨜊	卬字旁 3 即字旁 阝
𨜋	凵 左字框 口 阝
𨜌	宀 㠯 阝
𨜍	日 木 阝
𨜎	亠 厶 木 阝
𨜏	乃 又 皿 阝
𨜐	田 心 阝
𨜑	目 木 阝
𨜒	三 2 刀 大 阝
𨜓	卢字头 目 八 阝
𨜔	3 日 王 阝
𨜕	丝左角 3 共 阝
𨜖	日 禺字底 阝
𨜗	勹 横两撇 口 虫无口 阝
𨜘	尸 1 厶 土 阝
𨜙	5 4 矛无龴 木 阝
𨜚	3 十 龷 凵 阝
𨜛	宀 八 人 又 阝
𨜜	少三 3 目 阝
𨜝	口 口 二 6 口 巴三 6
𨜞	十 左字框 日 口 巴三 6
𨜟	丷 西无一 二 阝
𨜠	戌三 女 戈无一 阝
𨜡	比字旁 匕 3 日 阝
𨜢	5 丄 口 牙二 2 口 巴三 6
𨜣	三 2 刀 大 口 巴三 6
𨜤	士 冂 方 阝
𨜥	1 口 冂 艹 阝
𨜦	1 内 攴 阝
𨜧	丆 见二 临字旁 三 阝
𨜨	大 4 皿 阝
𨜩	3 日 2 水字框 阝
𨜪	八 人 人 口 阝
𨜫	负字头 厂 卧人 大 阝
𨜬	勹 日 弓 阝
𨜭	匕 目 八 阝
𨜮	卬字旁 3 4 即字旁 阝
𨜯	目 犬 口 巴三 6
𨜰	丷 王 女 阝
𨜱	宀 丅 1 口 阝
𨜲	3 十 龷 凵 口 巴三 6
𨜳	宀 口 3 口 阝
𨜴	土 厶 皿 阝
𨜵	见二 人 1 皿 阝
𨜶	丷 1 八 皿 阝
𨜷	立无横 冖 方 阝
𨜸	厂 3 日 5 子字底 阝
𨜹	5 6 1 6 叚右角 6 1 丄 阝
𨜺	八 厶 习 习 阝
𨜻	虍 亠 乂 阝
𨜼	覀 木 阝
𨜽	4 尸 久二 4 久二 4 阝
𨜾	亽 彐 3 口 阝
𨜿	出 二 小 阝
𨝀	卑六 6 厶 阝
𨝁	勹 日 八 1 6 阝
𨝂	厂 3 日 小 阝
𨝃	宀 三 2 口 阝
𨝄	3 十 2 二 匕 全字头 阝
𨝅	丝左角 3 3 日 匕 口 巴三 6
𨝆	1 口 2 1 口 2 阝
𨝇	1 6 山 3 龶 阝
𨝈	亻 土 厶 廾 阝
𨝉	巛 目 八 阝
𨝊	真 阝
𨝋	久二 冬字底 5 4 二 小 阝
𨝌	十 早 卧人 5 阝
𨝍	覀 大 5 6 阝
𨝎	广 聿三 2 率字腰 阝
𨝏	亠 乂 凵 禸 阝
𨝐	厶 厶 厶 全字头 彡 阝
𨝑	6 5 毌无框 目 八 阝
𨝒	艹 人 未 阝
𨝓	覀 二 小 阝
𨝔	彳 山 1 王 阝
𨝕	丷 王 皿 阝
𨝖	巛 口 巴三 6 1 人 人 木无横
𨝗	立无横 冂 八 口 阝
𨝘	虍 3 丷 于无横 阝
𨝙	亼 青字底 青字底 阝
𨝚	口 十 回 口 巴三 6
𨝛	艹 亼 朩 阝
𨝜	土 丷 干 阝 5 4
𨝝	十 早 卧人 5 口 巴三 6
𨝞	虍 3 丷 1 6 口 巴三 6
𨝟	3 木 攵 厂 口 巴三 6
𨝠	久二 冬字底 5 4 二 小 口 巴三 6
𨝡	山 宀 二 小 阝
𨝢	宀 1 耳无一 又 阝
𨝣	厶 亠 见二 临字旁 三 阝
𨝤	厶 厶 目 八 阝
𨝥	艹 日 人 6 阝
𨝦	龸 口 土 口 巴三 6
𨝧	广 叚右角 临字旁 厶 厶 阝
𨝨	扌 龷 日 阝
𨝩	1 車无一 攵 口 巴三 6
𨝪	罒 卧人 1 延字心无撇 阝
𨝫	亼 口 习 习 阝
𨝬	朱三 四竖 1 灬 口 巴三 6
𨝭	冫 馬字框 灬 阝
𨝮	1 耳无一 又 木 阝
𨝯	立无横 1 甲 二 阝
𨝰	夭 口 冂 口 阝
𨝱	亻 隹字边 灬 阝
𨝲	3 目 率字腰 左字框 阝
𨝳	止 匕 目 八 阝
𨝴	艹 1 1 由 八 阝
𨝵	木 木 青字底 阝
𨝶	1 口 口 1 日 阝
𨝷	大 丷 日 小 阝
𨝸	覀 早 阝
𨝹	虍 业无横 1 阝
𨝺	3 目 亠 3 6 水字边 阝
𨝻	彐 丅 1 凡 寸 阝
𨝼	大 丷 日 小 口 巴三 6
𨝽	雨头 二 厶 阝
𨝾	罒 1 口 丷 1 阝
𨝿	口 十 冂 丷 干 阝
𨞀	丷 西无一 二 大 口 巴三 6
𨞁	丷 木 久二 4 牙二 2 口 巴三 6
𨞂	卝 亻 隹字边 阝
𨞃	3 木 全字头 2 率字腰 阝
𨞄	3 人 人 人 人 土 阝
𨞅	人 人 2 厂 目 阝
𨞆	久二 4 5 6 目 八 阝
𨞇	火 火 火 阝
𨞈	习 习 1 卧人 大 阝
𨞉	弓 见二 1 久二 4 土 阝
𨞊	业无横 1 丷 1 夫 阝
𨞋	厂 艹 1 口 十 1 阝
𨞌	卬字旁 4 刀 1 口 丷 1 阝
𨞍	口 口 凵 丄 凵 3 阝
𨞎	口 冖 1 車无一 阝
𨞏	口 口 日 十 口 巴三 6
𨞐	厂 5 戈无一 皿 阝
𨞑	巛 口 巴三 6 3 目 犬
𨞒	3 木 龷 日 阝
𨞓	3 冂 3 丷 木 大 阝
𨞔	口 巴三 6 共 口 巴三 6
𨞕	罒 勹 口 虫无口 阝
𨞖	雨头 亽 5 4 阝
𨞗	聿三 3 口 丷 1 举字底 阝
𨞘	虍 1 口 丷 1 阝
𨞙	虍 1 豕省 阝
𨞚	日 月 皿 阝
𨞛	艹 日 勹 人 6 阝
𨞜	大 目 目 阝
𨞝	覀 目 八 阝
𨞞	月 月 皿 阝
𨞟	1 耳无一 丅 1 乂 乂 阝
𨞠	口 1 6 2 5 共 口 巴三 6
𨞡	亼 曾字头无丷 日 口 巴三 6
𨞢	十 人 人 人 2 率字腰 阝
𨞣	止 戌三 2 3 3 戈无一 阝
𨞤	3 4 1 曾字头无丷 日 阝
𨞥	亠 回 口 十 阝
𨞦	虍 1 豕省 口 巴三 6
𨞧	火 火 久二 4 牙二 2 阝
𨞨	艹 土 厶 皿 阝
𨞩	习 习 亻 隹字边 阝
𨞪	士 5 丅 1 1 口 寸 阝
𨞫	艹 冖 二 豕省 阝
𨞬	厂 甲 二 八 土 阝
𨞭	免 免 阝
𨞮	1 耳无一 又 乑 口 巴三 6
𨞯	艹 罒 冖 久二 4 口 巴三 6
𨞰	口 1 6 2 5 3 日 七 口 巴三 6
𨞱	口 龸 口 土 阝
𨞲	龵 馬字框 灬 阝
𨞳	3 目 田 丌 阝
𨞴	火 火 回 阝
𨞵	5 1 6 1 2 叚右角 目 八 阝
𨞶	3 目 日 木 阝
𨞷	夭 夭 口 虫无口 阝
𨞸	口 巴三 6 3 日 比字旁 口 巴三 6
𨞹	虍 木 木 阝
𨞺	厂 艹 日 禺字底 阝
𨞻	鹿 灬 阝
𨞼	艹 日 罒 又 阝
𨞽	田 田 田 阝
𨞾	盥左角 同 盥右角 1 八 阝
𨞿	丷 王 灬 1 夫 阝
𨟀	3 木 勹 3 全字头 2 率字腰 阝
𨟁	卝 罒 冖 方 阝
𨟂	艹 鱼省 灬 阝
𨟃	彳 山一 王 攵 阝
𨟄	木 乂 乂 木 大 口 巴三 6
𨟅	木 乂 乂 木 大 阝
𨟆	艹 习 习 全字头 彡 阝
𨟇	鱼省 灬 日 阝
𨟈	彡 彐 丅 1 口 寸 阝
𨟉	1 丆 日 丆 日 人 阝
𨟊	反字框 丅 反字框 丅 目 八 阝
𨟋	臼 3 见二 乂 1 廾 阝
𨟌	彡 彐 口 口 寸 阝
𨟍	享字头 回 口 十 阝
𨟎	山 亻 隹字边 2 5 冂 阝
𨟏	火 火 亠 回 阝
𨟐	享字头 龸 口 土 阝
𨟑	厂 3 木 3 木 止 阝
𨟒	艹 罒 冖 目 阝
𨟓	雨头 亻 隹字边 阝
𨟔	艹 日 罒 1 万无横 阝
𨟕	1 厶 土 1 厶 土 日 阝
𨟖	广 木 木 丆 口 阝
𨟗	艹 爫 3 5 5 5 灬 阝
𨟘	雨头 丷 1 业无横 1 阝
𨟙	目 八 目 八 女 阝
𨟚	亠 口 口 寒字腰 3 6 水字边 阝
𨟛	土 丆 日 丆 日 八 阝
𨟜	卢字头 见二 乂 鬯四点 1 早 阝
𨟝	3 木 日 亠 厶 青字底 阝
𨟞	享字头 5 子字底 十 左字框 日 阝
𨟟	厂 3 木 3 木 丆 口 阝
𨟠	目 目 亻 隹字边 阝
𨟡	1 耳无一 十 罒 1 心 阝
𨟢	王 士 5 丅 1 1 口 寸 阝
𨟣	卢字头 见二 乂 鬯四点 1 日 5 子字底 阝
𨟤	木 木 鹿 阝
𨟥	丆 口 丆 口 丆 口 木 阝
𨟦	盥左角 盥右角 3 见二 乂 1 大 5 6 阝
𨟧	爫 罒 即字旁 木 阝
𨟨	宀 亻 丆 日 革 阝
𨟩	卢字头 见二 乂 鬯四点 1 日 口 凵 2 口 巴三 6
𨟪	卝 干 言 言 阝
𨟫	1 内 1 内 鹿 阝
𨟬	卢字头 见二 乂 鬯四点 1 日 口 凵 2 阝
𨟭	竹头 虍 田 青字底 阝
𨟮	雨头 口 口 口 攵 口 巴三 6
𨟯	雨头 口 口 口 丅 人 人 1 阝
𨟰	西无一 二 阝
𨟱	西无一 二 凡
𨟲	1 6 4 西无一 二
𨟳	西无一 二 4 乂
𨟴	西无一 二 勹 二
𨟵	西无一 二 比字旁 匕
𨟶	1 戈无一 西无一 二
𨟷	西无一 二 丆 2 4
𨟸	西无一 二 勹 横两撇
𨟹	西无一 二 亽 5
𨟺	西无一 二 丅 6 5
𨟻	丩 丆 西无一 二
𨟼	西无一 二 亠 几
𨟽	火 西无一 二
𨟾	西无一 二 印字旁 6
𨟿	西无一 二 乂 乂
𨠀	西无一 二 1 幺
𨠁	西无一 二 冖 几
𨠂	西无一 二 1 6 5 1
𨠃	西无一 二 攴
𨠄	西无一 二 左字框 6 4
𨠅	西无一 二 欠
𨠆	2 水字框 西无一 二
𨠇	西无一 二 反字框 丅
𨠈	西无一 二 又 又
𨠉	西无一 二 心
𨠊	西无一 二 2 水字框
𨠋	西无一 二 瓜
𨠌	西无一 二 夂 冬字底
𨠍	西无一 二 亻 1 6 4
𨠎	西无一 二 亽 5 4
𨠏	西无一 二 印字旁 6 4
𨠐	西无一 二 止 匕
𨠑	西无一 二 卧人 韦无二 6
𨠒	厶 大 西无一 二
𨠓	西无一 二 3 6 2 3
𨠔	西无一 二 必
𨠕	西无一 二 4 5 水字框
𨠖	西无一 二 勹 巳
𨠗	西无一 二 见二 大
𨠘	西无一 二 3 日
𨠙	西无一 二 丆 2 4 1
𨠚	西无一 二 日 1
𨠛	西无一 二 瓦
𨠜	西无一 二 皮
𨠝	西无一 二 未
𨠞	西无一 二 勹 横两撇 4
𨠟	西无一 二 1 丷 十
𨠠	西无一 二 3 龶
𨠡	西无一 二 叚右角 2 又
𨠢	厶 廾 西无一 二
𨠣	西无一 二 1 止
𨠤	西无一 二 1 左字框 戈无一
𨠥	西无一 二 负字头 厂 5 6
𨠦	西无一 二 六 乂
𨠧	1 耳无一 西无一 二
𨠨	西无一 二 亠 乂 乔字底
𨠩	西无一 二 刀中 4 2 4 2
𨠪	西无一 二 亠 厶 十
𨠫	丷 西无一 二 左字框 6 4
𨠬	西无一 二 老
𨠭	亼 口 西无一 二
𨠮	西无一 二 勹 乂 凵
𨠯	西无一 二 亠 乂 凵
𨠰	亻 1 戈无一 西无一 二
𨠱	西无一 二 夂 二 6
𨠲	西无一 二 亻 3 士
𨠳	西无一 二 亠 亥无亠无人 人
𨠴	西无一 二 西
𨠵	西无一 二 尚字头 1 儿
𨠶	西无一 二 负字头 巴三 6
𨠷	艹 日 西无一 二
𨠸	西无一 二 1 巛 丅 1
𨠹	西无一 二 大 木
𨠺	西无一 二 享字头 5 2
𨠻	西无一 二 宀 二 儿
𨠼	西无一 二 宀 木
𨠽	西无一 二 厂 5 戈无一
𨠾	举字底 1 戈无一 西无一 二
𨠿	西无一 二 1 人 人 人
𨡀	西无一 二 尚字头 青字底
𨡁	西无一 二 目 儿
𨡂	西无一 二 乂 左字框 巾
𨡃	西无一 二 夂 三 2
𨡄	西无一 二 言
𨡅	西无一 二 丷 木 6
𨡆	西无一 二 乂 乂 5 子字底
𨡇	西无一 二 叚右角 皿
𨡈	西无一 二 丩 丆 士
𨡉	西无一 二 彐 冖 又
𨡊	西无一 二 另 刂
𨡋	西无一 二 木 口
𨡌	西无一 二 3 木 女
𨡍	西无一 二 2 水字框 日
𨡎	西无一 二 亽 5 心
𨡏	西无一 二 见二 龷 八
𨡐	朱三 巾 刂 西无一 二
𨡑	西无一 二 周字框 土 口
𨡒	西无一 二 勹 卧人 1 延字心无撇
𨡓	丩 丆 久二 冬字底 西无一 二
𨡔	龸 口 西无一 二
𨡕	西无一 二 卑
𨡖	西无一 二 二 6 皿
𨡗	西无一 二 宀 八 弓
𨡘	西无一 二 朱三 巾 刂
𨡙	西无一 二 丷 日 十
𨡚	西无一 二 亠 厶 青字底
𨡛	卑六 6 西无一 二
𨡜	西无一 二 乂 左字框 青字底
𨡝	西无一 二 士 皿
𨡞	西无一 二 丆 回
𨡟	西无一 二 田 廾
𨡠	西无一 二 口 6 青字底
𨡡	丷 西无一 二 巳 亼
𨡢	亽 5 欠 西无一 二
𨡣	亽 5 心 西无一 二
𨡤	西无一 二 亠 见二 大 1
𨡥	西无一 二 4 丆 2 4 口
𨡦	西无一 二 幺 青字底 6
𨡧	西无一 二 丩 丆 犬
𨡨	西无一 二 艹 三 八
𨡩	西无一 二 5 4 横两撇 4 殳
𨡪	西无一 二 方 卧人 韦无二 6
𨡫	西无一 二 冖 1 車无一
𨡬	西无一 二 2 水字框 皿
𨡭	5 4 矛无龴 攵 西无一 二
𨡮	西无一 二 勹 横两撇 4 心
𨡯	西无一 二 十 冂 丷 干
𨡰	丩 丆 西无一 二 皿
𨡱	西无一 二 艹 十 口
𨡲	西无一 二 3 木 火
𨡳	亽 5 西无一 二 彡 几
𨡴	西无一 二 丷 西无一 二
𨡵	西无一 二 口 2 皿
𨡶	皮 开 西无一 二
𨡷	十 口 月 西无一 二
𨡸	西无一 二 艹 全字头 小
𨡹	西无一 二 3 日 2 水字框
𨡺	西无一 二 口 丄 见二 人
𨡻	西无一 二 宀 火 又
𨡼	西无一 二 临字旁 又 皿
𨡽	西无一 二 左字框 丅 1 周字框 冫
𨡾	西无一 二 田 心
𨡿	西无一 二 左字框 厶 皿
𨢀	西无一 二 乂 乂 左字框 5 子字底
𨢁	西无一 二 亽 艮
𨢂	西无一 二 3 幺 青字底 6
𨢃	西无一 二 宀 二 止
𨢄	西无一 二 田 儿 厶
𨢅	丷 西无一 二 亠 人 人 十
𨢆	西无一 二 又 又 又 木
𨢇	西无一 二 留字头 田
𨢈	十 早 丷 西无一 二
𨢉	西无一 二 山 1 口 丷 1
𨢊	西无一 二 冖 1 1 豕省
𨢋	士 冖 1 殳 西无一 二
𨢌	西无一 二 鬲
𨢍	西无一 二 老 日
𨢎	西无一 二 冖 日 六
𨢏	月 开 刂 西无一 二
𨢐	西无一 二 立无横 冖 方
𨢑	西无一 二 横两撇 1 聿三 兼无䒑无彐
𨢒	臣 卧人 二 西无一 二
𨢓	西无一 二 享字头 冂 口
𨢔	西无一 二 大 土 日
𨢕	西无一 二 艹 全字头 朩
𨢖	西无一 二 幺 目 八
𨢗	西无一 二 左字框 口 冂 口
𨢘	西无一 二 丷 1 八 皿
𨢙	西无一 二 3 冫 6 飞无折 手
𨢚	丷 1 夫三 丅 1 西无一 二
𨢛	宀 八 卧人 2 二 西无一 二
𨢜	西无一 二 冖 亻 隹字边
𨢝	西无一 二 爫 臼
𨢞	亠 丷 2 刀 卬字旁 4 西无一 二
𨢟	西无一 二 艹 亠 亥无亠无人 人
𨢠	西无一 二 宀 乃 皿
𨢡	西无一 二 日 龷 十
𨢢	西无一 二 艹 日 大
𨢣	西无一 二 比字旁 丆 目 八
𨢤	士 眉字框 殳 西无一 二
𨢥	西无一 二 日 罒 又
𨢦	西无一 二 龶 目 八
𨢧	西无一 二 宀 八 朱三 山
𨢨	西无一 二 3 见二 横两撇 4 1 心
𨢩	西无一 二 卧人 日 1 勹 横两撇
𨢪	西无一 二 巛 日 木
𨢫	西无一 二 弓 叚右角 1 6 口
𨢬	西无一 二 艹 亼 朩
𨢭	西无一 二 鱼省 灬
𨢮	卧人 大 口 1 于无横 西无一 二
𨢯	氵 亽 5 心 西无一 二
𨢰	卧人 大 西无一 二 口 二 6
𨢱	卧人 大 口 5 子字底 西无一 二
𨢲	西无一 二 宀 亻 丆 日
𨢳	西无一 二 左字框 6 4 上 日
𨢴	西无一 二 亼 口 皿
𨢵	西无一 二 久二 冬字底 5 4 二 小
𨢶	西无一 二 享字头 5 2 灬
𨢷	西无一 二 鹿
𨢸	西无一 二 丷 王 皿
𨢹	皮 开 刂 西无一 二
𨢺	西无一 二 厶 5 龰 青字底
𨢻	西无一 二 目 艮
𨢼	西无一 二 3 见二 乂 1 儿 夂
𨢽	田 西无一 二 厶 八 夂
𨢾	西无一 二 丆 冂 临字旁 丆 冂 临字旁
𨢿	西无一 二 口 口 日 十
𨣀	西无一 二 大 丷 日 小
𨣁	西无一 二 丷 1 举字底 丷 1 口
𨣂	西无一 二 共 口 虫无口
𨣃	西无一 二 火 火 冖 5 3
𨣄	西无一 二 艹 1 龷 十
𨣅	西无一 二 日 1 耳无一 又
𨣆	西无一 二 丷 西无一 二 大
